복수종합유선방송사업자명(MSO명),법인명,종합유선방송사업자명(SO명),방송구역,사업자등록번호
KT HCN,㈜KT HCN,㈜KT HCN,서울 관악구,537-87-01822
KT HCN,㈜KT HCN,㈜KT HCN 경북방송,"경북 포항,울릉,영덕,울진",204-85-31039
KT HCN,㈜KT HCN,㈜KT HCN 금호방송,대구 북구,217-85-24679
KT HCN,㈜KT HCN,㈜KT HCN 동작방송,서울 동작구,330-85-01514
KT HCN,㈜KT HCN,㈜KT HCN 부산방송,"부산 동래구,연제구",387-85-01432
KT HCN,㈜KT HCN,㈜KT HCN 새로넷방송,"경북 구미,김천,칠곡,성주,상주,고령,군위",635-85-01516
KT HCN,㈜KT HCN,㈜KT HCN 서초방송,서울 서초구,672-85-01515
KT HCN,㈜KT HCN,㈜KT HCN 충북방송,"충북 청주,청원,영동,옥천,보은",111-85-12628
개별 SO,JCN울산중앙방송㈜,JCN울산중앙방송㈜,"울산 중구,남구,동구,북구,울주",610-81-41694
개별 SO,금강방송㈜,금강방송㈜,"전북 익산,군산",403-81-15491
개별 SO,남인천방송㈜,남인천방송㈜,"인천 남구,연수구",131-81-33046
개별 SO,㈜KCTV광주방송,㈜KCTV광주방송,"광주 동구,북구",409-81-21690
개별 SO,㈜서경방송,㈜서경방송,"경남 진주,사천,남해,하동,산청,함양",613-81-15007
개별 SO,㈜씨씨에스 충북방송,㈜씨씨에스 충북방송,"충북 충주,제천,단양,괴산,진천,음성,증평",303-81-18621
개별 SO,㈜아름방송네트워크,㈜아름방송네트워크,경기 성남,129-81-22930
개별 SO,㈜케이씨티브이제주방송,㈜케이씨티브이제주방송,"제주,서귀포",616-81-11863
개별 SO,한국케이블TV푸른방송㈜,한국케이블TV푸른방송㈜,"대구 달서구,달성",503-81-23573
딜라이브,㈜딜라이브,㈜딜라이브,서울 강동구,120-81-98660
딜라이브,㈜딜라이브,㈜딜라이브 경기케이블티브이,"경기 고양,파주",128-85-48880
딜라이브,㈜딜라이브,㈜딜라이브 경동케이블티브이,"경기 구리,남양주,하남,광주,가평,양평,여주",132-85-17668
딜라이브,㈜딜라이브,㈜딜라이브 구로금천케이블티브이,"서울 구로구,금천구",113-85-27277
딜라이브,㈜딜라이브,㈜딜라이브 노원케이블티브이,서울 노원구,204-85-19689
딜라이브,㈜딜라이브,㈜딜라이브 동서울케이블티브이,"서울 성동구,광진구",204-85-19694
딜라이브,㈜딜라이브,㈜딜라이브 마포케이블티브이,서울 마포구,106-85-27532
딜라이브,㈜딜라이브,㈜딜라이브 북부케이블티브이,서울 성북구,204-85-19675
딜라이브,㈜딜라이브,㈜딜라이브 서서울케이블티브이,서울 서대문구,106-85-27527
딜라이브,㈜딜라이브,㈜딜라이브 송파케이블티브이,서울 송파구,215-85-22224
딜라이브,㈜딜라이브,㈜딜라이브 용산케이블티브이,서울 용산구,106-85-27546
딜라이브,㈜딜라이브,㈜딜라이브 우리케이블티브이,"경기 의정부,양주,동두천,포천,연천",127-85-46313
딜라이브,㈜딜라이브,㈜딜라이브 중랑케이블티브이,서울 중랑구,204-85-16192
딜라이브,㈜딜라이브,㈜딜라이브 중앙케이블티브이,"서울 종로구,중구",110-85-17431
딜라이브,㈜딜라이브강남케이블티브이,㈜딜라이브강남케이블티브이,서울 강남구,211-86-30433
딜라이브,㈜딜라이브경기동부케이블티브이,㈜딜라이브경기동부케이블티브이,"경기 구리,남양,하남,광주,가평,양평,여주",126-81-70277
씨엠비,㈜씨엠비,㈜씨엠비,"대전 중구,서구,유성구",305-81-46536
씨엠비,㈜씨엠비,㈜씨엠비 광주동부방송,"광주 동구,북구",707-85-01126
씨엠비,㈜씨엠비,㈜씨엠비 광주방송,"광주 남구,서구,광산구",272-85-01066
씨엠비,㈜씨엠비,㈜씨엠비 대구방송,대구 동구,899-85-01124
씨엠비,㈜씨엠비,㈜씨엠비 동대문방송,서울 동대문구,530-85-01259
씨엠비,㈜씨엠비,㈜씨엠비 동대전방송,"대전 동구,대덕구",305-85-34509
씨엠비,㈜씨엠비,㈜씨엠비 세종방송,세종,195-85-01075
씨엠비,㈜씨엠비,㈜씨엠비 수성방송,대구 수성구,544-85-01054
씨엠비,㈜씨엠비,㈜씨엠비 영등포방송,서울 영등포구,576-85-00877
씨엠비,㈜씨엠비,㈜씨엠비 전남방송,"전남 나주,화순,보성,담양,장성,영광,함평,구례,곡성",328-85-00899
씨엠비,㈜씨엠비,㈜씨엠비 충청방송,"충남 공주,부여,논산,계룡,금산,보령,서천",516-85-00889
에스케이브로드밴드,에스케이브로드밴드㈜,에스케이브로드밴드㈜ 노원방송,서울 노원구,214-86-18758
에스케이브로드밴드,에스케이브로드밴드㈜,에스케이브로드밴드㈜ ABC방송,"경기 과천,의왕,군포,안양",214-86-18758
에스케이브로드밴드,에스케이브로드밴드㈜,에스케이브로드밴드㈜ 강서방송,서울 강서구,214-86-18758
에스케이브로드밴드,에스케이브로드밴드㈜,에스케이브로드밴드㈜ 광진성동방송,"서울 성동구,광진구",214-86-18758
에스케이브로드밴드,에스케이브로드밴드㈜,에스케이브로드밴드㈜ 기남방송,"경기 용인,이천,안성,평택",214-86-18758
에스케이브로드밴드,에스케이브로드밴드㈜,에스케이브로드밴드㈜ 낙동방송,"부산 강서구,북구,사상구",214-86-18758
에스케이브로드밴드,에스케이브로드밴드㈜,에스케이브로드밴드㈜ 남동방송,인천 남동구,214-86-18758
에스케이브로드밴드,에스케이브로드밴드㈜,에스케이브로드밴드㈜ 대경방송,대구 서구,214-86-18758
에스케이브로드밴드,에스케이브로드밴드㈜,에스케이브로드밴드㈜ 대구방송,"대구 중구,남구",214-86-18758
에스케이브로드밴드,에스케이브로드밴드㈜,에스케이브로드밴드㈜ 도봉강북방송,"서울 도봉구,강북구",214-86-18758
에스케이브로드밴드,에스케이브로드밴드㈜,에스케이브로드밴드㈜ 동남방송,"부산 남구,수영구",214-86-18758
에스케이브로드밴드,에스케이브로드밴드㈜,에스케이브로드밴드㈜ 동대문방송,서울 동대문구,214-86-18758
에스케이브로드밴드,에스케이브로드밴드㈜,에스케이브로드밴드㈜ 새롬방송,인천 서구,214-86-18758
에스케이브로드밴드,에스케이브로드밴드㈜,에스케이브로드밴드㈜ 서대문방송,서울 서대문구,214-86-18758
에스케이브로드밴드,에스케이브로드밴드㈜,에스케이브로드밴드㈜ 서부산방송,"부산 서구,사하구",214-86-18758
에스케이브로드밴드,에스케이브로드밴드㈜,에스케이브로드밴드㈜ 서해방송,"인천 중구,동구,옹진,강화",214-86-18758
에스케이브로드밴드,에스케이브로드밴드㈜,에스케이브로드밴드㈜ 세종방송,세종,214-86-18758
에스케이브로드밴드,에스케이브로드밴드㈜,에스케이브로드밴드㈜ 수원방송,"경기 수원,오산,화성",214-86-18758
에스케이브로드밴드,에스케이브로드밴드㈜,에스케이브로드밴드㈜ 전주방송,"전북 전주,완주,무주,진안,장수",214-86-18758
에스케이브로드밴드,에스케이브로드밴드㈜,에스케이브로드밴드㈜ 종로중구방송,"서울 종로구,중구",214-86-18758
에스케이브로드밴드,에스케이브로드밴드㈜,에스케이브로드밴드㈜ 중부방송,"충남 천안,아산",214-86-18758
에스케이브로드밴드,에스케이브로드밴드㈜,에스케이브로드밴드㈜ 티씨엔방송,"대구 달서구,달성",214-86-18758
에스케이브로드밴드,에스케이브로드밴드㈜,에스케이브로드밴드㈜ 한빛방송,"경기 광명,안산,시흥",214-86-18758
엘지헬로비전,㈜엘지헬로비전,㈜엘지헬로비전 가야방송,"경남 김해,밀양,양산,창녕,합천,거창",117-81-13423
엘지헬로비전,㈜엘지헬로비전,㈜엘지헬로비전 강원방송,"강원 춘천,홍천,철원,화천,양구,인제",117-81-13423
엘지헬로비전,㈜엘지헬로비전,㈜엘지헬로비전 경남방송,"경남 창원성산구·의창구·진해구,함안,의령",117-81-13423
엘지헬로비전,㈜엘지헬로비전,㈜엘지헬로비전 금정방송,부산 금정구,117-81-13423
엘지헬로비전,㈜엘지헬로비전,㈜엘지헬로비전 나라방송,"경기 의정부,양주,동두천,포천,연천",117-81-13423
엘지헬로비전,㈜엘지헬로비전,㈜엘지헬로비전 대구동구방송,대구 동구,117-81-13423
엘지헬로비전,㈜엘지헬로비전,㈜엘지헬로비전 대구수성방송,대구 수성구,117-81-13423
엘지헬로비전,㈜엘지헬로비전,㈜엘지헬로비전 마산방송,"경남 창원마산회원구·마산합포구,통영,거제,고성",117-81-13423
엘지헬로비전,㈜엘지헬로비전,㈜엘지헬로비전 부천/김포방송,"경기 부천,김포",117-81-13423
엘지헬로비전,㈜엘지헬로비전,㈜엘지헬로비전 북인천방송,"인천 부평구,계양구",117-81-13423
엘지헬로비전,㈜엘지헬로비전,㈜엘지헬로비전 신라방송,"경북 경주,영천,경산,청도",117-81-13423
엘지헬로비전,㈜엘지헬로비전,㈜엘지헬로비전 아라방송,"전남 여수,광양,순천,고흥",117-81-13423
엘지헬로비전,㈜엘지헬로비전,㈜엘지헬로비전 양천방송,서울 양천구,117-81-13423
엘지헬로비전,㈜엘지헬로비전,㈜엘지헬로비전 영남방송,"경북 안동,영주,문경,예천,의성,봉화,청송,영양",117-81-13423
엘지헬로비전,㈜엘지헬로비전,㈜엘지헬로비전 영동방송,"강원 강릉,동해,삼척,속초,양양,고성,태백",117-81-13423
엘지헬로비전,㈜엘지헬로비전,㈜엘지헬로비전 영서방송,"강원 원주,횡성,영월,평창,정선",117-81-13423
엘지헬로비전,㈜엘지헬로비전,㈜엘지헬로비전 은평방송,서울 은평구,117-81-13423
엘지헬로비전,㈜엘지헬로비전,㈜엘지헬로비전 전북방송,"전북 김제,정읍,고창,부안,남원,임실,순창",117-81-13423
엘지헬로비전,㈜엘지헬로비전,㈜엘지헬로비전 중부산방송,"부산 중구,동구,영도구",117-81-13423
엘지헬로비전,㈜엘지헬로비전,㈜엘지헬로비전 중앙방송,부산 부산진구,117-81-13423
엘지헬로비전,㈜엘지헬로비전,㈜엘지헬로비전 충남방송,"충남 당진,예산,서산,태안,홍성,청양",117-81-13423
엘지헬로비전,㈜엘지헬로비전,㈜엘지헬로비전 해운대기장방송,"부산 해운대구,기장",117-81-13423
엘지헬로비전,㈜엘지헬로비전,㈜엘지헬로비전 호남방송,"전남 목포,신안,무안,강진,완도,해남,진도,영암,장흥",117-81-13423
