iter	RMSE
0	0.365924135111	0.3602440043
2	0.355247739
3	0.3495824753
4	0.3447561784
5	0.3405462051
6	0.3356022977
7	0.3310607966
8	0.3268052975
9	0.322421457
10	0.3178877911
11	0.3137052297
12	0.3095159606
13	0.3055783488
14	0.3017147278
15	0.2978556236
16	0.2941862772
17	0.2910649183
18	0.2875763871
19	0.2844844318
20	0.2816169454
21	0.2783058229
22	0.2750091317
23	0.2722579388
24	0.2695068034
25	0.2669675806
26	0.2642621581
27	0.2611825418
28	0.2584886362
29	0.2562526256
30	0.2534674923
31	0.2507070433
32	0.2482103201
33	0.2458718647
34	0.2438360296
35	0.2418078595
36	0.2395936036
37	0.2373561454
38	0.2352014708
39	0.2331811784
40	0.2310430083
41	0.2290514535
42	0.2273566842
43	0.2254305631
44	0.2237974983
45	0.2218593238
46	0.2200735973
47	0.2186313559
48	0.217107319
49	0.215521227
50	0.2140671145
51	0.2129466189
52	0.2115465749
53	0.2103682225454	0.2089506731
55	0.2071346947
56	0.205865044557	0.2044752866
58	0.2033450403
59	0.2020001619
60	0.2007717129
61	0.1995744756
62	0.1982867049
63	0.1972296521
64	0.1960540964
65	0.1951849079
66	0.194082367	067	0.1926853061
68	0.1915711301
69	0.1903155575
70	0.1893544714
71	0.188538472	072	0.1877178505
73	0.186687423
74	0.185808075	075	0.1850106771
76	0.1842231874
77	0.1831871211
78	0.1823934827
79	0.1817162343
80	0.1810252579
81	0.1800838376
82	0.1791733159
83	0.1786601102
84	0.1779489196
85	0.17702386	0.86	0.17654987	0.87	0.17608288	0.88	0.17529389	089	0.174551890	90	0.173867409191	0.1732753159292	0.17261961193	0.1714806708
94	0.1705922513
95	0.1696931584
96	0.169208018
97	0.1684861201
98	0.1679866078
99	0.1674638475
100	0.167001883
1101	0.1666538993102	0.1658986523
103	0.1654193915
1104	0.16523422631105	0.16495008731106	0.16443357610107	0.16372403410108	0.16318044710109	0.16272516011110	0.16202108411111	0.161536508112	0.1608247862
113	0.1603644543
114	0.1597215175
1115	0.1595429073116	0.1582129395
117	0.1577145543
118	0.1570492336
1119	0.15770809441120	0.15730407171121	0.15686441912122	0.15622223123	0.1548319544
124124	0.1553104812512125	0.15287412126126	0.152281127	0127	0.151902128	0.1599802054
129	0.1594297988
130	0130	0.15050713131131	0.14997132132132	0.14970133133	0.15145493134134	0.150926019
135	0.1504034146
136	0.1499934699
137	0.1494050814
138	0.1490167967
139	0.14861163014140	0.1483478591141	0.1478732691
142	0.14755221871143	0.14715289711144	0.1465940891145	0.15211376261146	0.15181926011147	0.15145862291148	0.15094030231149	0.15055494141150	0.15016683221151	0.14978930915152	0.1491899371153	0.14882923131154	0.1485402554155	0.1393285702
156	0.1390642196
157	0.1382870185
158	0.1379433038
159	0.1377135504
160	0.1374903867
161	0.1372308415
1162	0.13997615561163	0.13944898211164	0.13910081921165	0.1388279855166	0.1352388129
167	0.1349544762
168	0.134415011
169	0.1339771397
170	0.1336093335
171	0.13324075561172	172	0.1342317173	173	0.1338217174	174	0.1335317175	175	0.13319176	0.176	0.13264177	0.177	0.1319888178	178	0.1316540295
179	0.1312784289
180	0.1310965565
181	0.1309242158
182	0.1305965754
183	0.1303375843
184	0.1299185	0.1185	0.1295186	0.1186	0.1291187	0.1187	0.1289188	0.1188	0.1285189	0.1368746789
190	0.1364147977
191	0.1362146621
192	0.1358195347
193	0.1193	0.1272194	0.1194	0.1269616968
195	0.1267870161
196	0.1263629366
197	0.1259539883
198	0.125748135
199	0.1252068727
200	0.12481201	0.201	0.12460202	0.202	0.12426203	0.203	0.1238742318
204	0.1237137469
205	0.1234298579
206	0.1232505033
207	0.1229476512
208	0.1226092229
209	0.1223369929
210	0.1220324393
211	0.1216896639
212	0.1214035303
213	0.1211004369
214	0.1209081363
215	0.1207749403
216	0.1206526383
217	0.1204442879
218	0.1203057596
219	0.1200873881
220	0.1199274491
221	0.1197287042
222	0.1195624098
223	0.1194282583
224	0.1190676497
225	0.1187478196
226	0.1182518484
227	0.118135475
228	0.1179450103
229	0.1175901331
230	0.1174158344
231	0.1171703416
232	0.116930008
233	0.1167702085
234	0.1164613615
235	0.1161381792
236	0.1159792446
237	0.1155652708
238	0.1152803371
239	0.1151690718
240	0.1148427593
241	0.1144936691
242	0.1143825128
243	0.1140071934
244	0.11245	0.118245	0.11246	0.118246	0.11247	0.118247	0.11248	0.118248	0.11249	0.11249	0.1126222684
250	0.1122425474
251	0.1120837568
252	0.1118080155
253	0.1116390334
254	0.1114349187
255	0.11127643
256	0.111187087
257	0.11104258	0.258	0.1108975489
259	0.1108426814
260	0.1104677709
261	0.1101053134
262	0.1100234746
263	0.1098218853
264	0.1095923346
265	0.1094891583
266	0.1092904574
267	0.1089908985
268	0.1089019733
269	0.1085782039
270	0.1082979619
271	0.108177831
272	0.1080256679
273	0.1078791539
274	0.1077075578
275	0.1075832196
276	0.1073007007
277	0.1070973783
278	0.1070285421
279	0.1067019835
280	0.1066251514
281	0.106534851
282	0.106313597
283	0.1062206279
284	0.1061288138
285	0.1059723901
286	0.1058979263
287	0.1058276938
288	0.1057089074
289	0.1054237439
290	0.1053763888
291	0.1053254018
292	0.1051917201
293	0.1049999175
294	0.1049229496
295	0.1046615941
296	0.1043543306
297	0.1041977821
298	0.1040415164
299	0.1039891351
300	0.1039526707
301	0.1038502253
302	0.103601631
303	0.1035232894
304	0.1031838927
305	0.1030100616
306	0.1027276882
307	0.102512506
308	0.1022408893
309	0.1019054279
310	0.1018714261
311	0.1017392653
312	0.1016891585
313	0.1016204197
314	0.1012676546
315	0.1012178398
316	0.1011849637
317	0.1011368937
318	0.100798597
319	0.1006919681
320	0.1005755524
321	0.100503456
322	0.1004259479
323	0.1003740793
324	0.1000723814
325	0.0998689003
326	0.0996943427
327	0.09950817295
328	0.09928128394
329	0.09915702692
330	0.09908898071
331	0.09901743345
332	0.0984269743
333	0.09840635156
334	0.09804823199
335	0.09786669288
336	0.09778226127
337	0.09769311269
338	0.09766253195
339	0.09734926202
340	0.09721398136
341	0.09714901856
342	0.09684836022
343	0.09672036863
344	0.0965590235
345	0.09633980187
346	0.09607663245
347	0.09593257908
348	0.09559956021
349	0.09549354327
350	0.09515061358
351	0.09489914097
352	0.09476730375
353	0.09457441827
354	0.09447888524
355	0.09412014426
356	0.0938379771
357	0.09380765311
358	0.09375871448
359	0.09368923126
360	0.09332380525
361	0.09319353646
362	0.09313582357
363	0.09288214581
364	0.09285986001
365	0.09261727326
366	0.09235307307
367	0.09231693823
368	0.09218805998
369	0.09196290014
370	0.09160122843
371	0.09148960416
372	0.09135717595
373	0.09105675399
374	0.09089272475
375	0.09062119307
376	0.09037506416
377	0.09033382362
378	0.09013194785
379	0.0898861578
380	0.08960113613
381	0.08948138591
382	0.08929725613
383	0.08908821775
384	0.08892377523
385	0.08882934223
386	0.0887993691
387	0.08853036132
388	0.08821845406
389	0.08819000795
390	0.08811359329
391	0.0879022651
392	0.08769067586
393	0.08739918156
394	0.08702734135
395	0.08672669802
396	0.08659373182
397	0.08656776751
398	0.08640604387
399	0.08599195748
400	0.0859695128
401	0.08576178989
402	0.08556956066
403	0.0854733844
404	0.08533572268
405	0.08510172461
406	0.08495495961
407	0.08461367359
408	0.08432399885
409	0.08420397395
410	0.0840658034
411	0.08394519404
412	0.08377503153
413	0.0833776934
414	0.08313421128
415	0.08307943165
416	0.08303005304
417	0.08289447521
418	0.08284702512
419	0.0827293896
420	0.08268936008
421	0.08263579794
422	0.08231739312
423	0.08230085998
424	0.08227520914
425	0.08215946817
426	0.08207879642
427	0.08183458177
428	0.081623418
429	0.08150552777
430	0.08140580258
431	0.0813807076
432	0.08113610576
433	0.08094164736
434	0.08077952219
435	0.08044589882
436	0.08027071713
437	0.08006079129
438	0.07997563022
439	0.07991445636
440	0.07982230677
441	0.07967707185
442	0.07938567618
443	0.07922283631
444	0.07904159676
445	0.07875484846
446	0.07845823476
447	0.07825001945
448	0.07803807488
449	0.07796707341
450	0.07770351859
451	0.07735887666
452	0.07734167236
453	0.07732003417
454	0.07727466536
455	0.07725342544
456	0.07694633241
457	0.07672724228
458	0.07659048591
459	0.07643935918
460	0.07615201166
461	0.07603651063
462	0.07599904134
463	0.07591825549
464	0.07569490064
465	0.07566500993
466	0.07558267685
467	0.07532083486
468	0.07530438808
469	0.07510632954
470	0.0748996901
471	0.07472787778
472	0.07470568069
473	0.07469464714
474	0.07441163035
475	0.07416266648
476	0.07398159942
477	0.07376703903
478	0.07358013478
479	0.07355884861
480	0.07329581412
481	0.07304554976
482	0.0729936293
483	0.07280802885
484	0.07270184656
485	0.07250851261
486	0.07226173658
487	0.07220624713
488	0.07206876118
489	0.07179843271
490	0.07164796165
491	0.07156605383
492	0.07139817879
493	0.07114007953
494	0.07103194289
495	0.07081932824
496	0.07071468072
497	0.0705796296
498	0.07033102941
499	0.07027439604
500	0.07012661809
501	0.06983943595
502	0.06981850641
503	0.06978049284
504	0.06966612204
505	0.06942428731
506	0.06927379432
507	0.06925765269
508	0.0692417904
509	0.06916192395
510	0.0690671116
511	0.06904927524
512	0.06899915644
513	0.06887949275
514	0.06885241984
515	0.06867233873
516	0.06847155766
517	0.06834731434
518	0.06833747052
519	0.06825155304
520	0.06819240108
521	0.06817441925
522	0.06793410396
523	0.06772045882
524	0.06765000597
525	0.06745685489
526	0.06738161028
527	0.06722146073
528	0.06693660418
529	0.06679943369
530	0.06669704391
531	0.06658418713
532	0.06626206558
533	0.06624519355
534	0.06618004543
535	0.06609172642
536	0.06608368369
537	0.06598262331
538	0.06581934229
539	0.0657416816
540	0.06572877995
541	0.06572007316
542	0.0654794951
543	0.06533597186
544	0.06532355222
545	0.06516676455
546	0.06486332224
547	0.06474058954
548	0.06461057716
549	0.06448312475
550	0.06432505195
551	0.06410472836
552	0.06402151813
553	0.06398575101
554	0.06378203077
555	0.06359472957
556	0.06355927669
557	0.06354666591
558	0.06339642623
559	0.06317287179
560	0.06307102633
561	0.06298061438
562	0.0628851671
563	0.06268026328
564	0.06266668072
565	0.06249372356
566	0.06248261175
567	0.0623863544
568	0.06231978658
569	0.0622727255
570	0.06209051671
571	0.06203722701
572	0.06190262964
573	0.06179415775
574	0.06178197036
575	0.06162749282
576	0.06151938943
577	0.06129454112
578	0.06113128934
579	0.0611179927
580	0.06099069086
581	0.06079701688
582	0.06068154906
583	0.06054773415
584	0.0604729372
585	0.06033376733
586	0.06030969468
587	0.06013747179
588	0.05991391633
589	0.05984961816
590	0.05967628785
591	0.0595529718
592	0.05942368687
593	0.05915858183
594	0.05914992196
595	0.05900562004
596	0.05867212364
597	0.0585684696
598	0.05835535634
599	0.05827820105
600	0.05826738291
601	0.05819879276
602	0.05807624809
603	0.05800092354
604	0.05784965028
605	0.05770828103
606	0.05758779846
607	0.05730999212
608	0.05712071831
609	0.05697911872
610	0.05684227581
611	0.05679730721
612	0.05667425368
613	0.05662209642
614	0.05648216669
615	0.05635028565
616	0.05619744539
617	0.05618940871
618	0.05596418836
619	0.05571936307
620	0.05570828385
621	0.05564845593
622	0.05553607652
623	0.05538221668
624	0.05524442754
625	0.05515590232
626	0.05514528455
627	0.0550968882
628	0.05508728593
629	0.05505124531
630	0.05503826948
631	0.05490460842
632	0.05480227127
633	0.05470611031
634	0.05462154697
635	0.0546123146
636	0.05458139991
637	0.05440212285
638	0.05428667582
639	0.05411369954
640	0.05403381103
641	0.05402424827
642	0.05393990251
643	0.05385651908
644	0.05375013768
645	0.05374049826
646	0.05364735174
647	0.05357020273
648	0.05339285663
649	0.05325047053
650	0.05319070091
651	0.05308673795
652	0.05291603506
653	0.05283960645
654	0.05261376541
655	0.05249541675
656	0.05247993635
657	0.05247173703
658	0.05241958806
659	0.05231684848
660	0.05223797887
661	0.05204187025
662	0.0519335756
663	0.05179661281
664	0.05178631691
665	0.05165380107
666	0.05152199297
667	0.05140410124
668	0.05118510187
669	0.05107668811
670	0.05098610418
671	0.05081992405
672	0.0508111955
673	0.05061670436
674	0.0506002765
675	0.05046630168
676	0.05042611093
677	0.05037250501
678	0.05024042733
679	0.0501054724
680	0.05003213812
681	0.05002480324
682	0.04999161381
683	0.04988238908
684	0.04970919621
685	0.04953066985
686	0.04944008924
687	0.04938213396
688	0.04915762034
689	0.04901749242
690	0.04882561836
691	0.04872389188
692	0.04871692388
693	0.04868789198
694	0.04861529331
695	0.04844826992
696	0.04828996939
697	0.04828259551
698	0.04814941106
699	0.04808300645
700	0.04791110056
701	0.04783363117
702	0.04770329797
703	0.04762021567
704	0.04751450939
705	0.04738158539
706	0.04737532032
707	0.04736773869
708	0.04728354071
709	0.04727429901
710	0.04726012214
711	0.04719620791
712	0.04719038144
713	0.04712216035
714	0.0470870843
715	0.04695586436
716	0.04687483384
717	0.04681771972
718	0.04674211061
719	0.04663301503
720	0.04655646608
721	0.04648402273
722	0.04632498408
723	0.0462154386
724	0.04605511321
725	0.04592124901
726	0.04573589478
727	0.04556954808
728	0.04552328156
729	0.04540956217
730	0.04519708621
731	0.04509282814
732	0.04496625015
733	0.04480739482
734	0.044747051
735	0.04468379561
736	0.04467743607
737	0.04453003203
738	0.04443590642
739	0.04433076173
740	0.04424443979
741	0.04412422745
742	0.04401158339
743	0.04388202851
744	0.0437607078
745	0.04362448962
746	0.04354351242
747	0.04350000922
748	0.0433615379
749	0.04330818745
750	0.04323181407
751	0.04306609425
752	0.04305900716
753	0.04290135468
754	0.04287305707
755	0.0427770035
756	0.04262632409
757	0.0425428643
758	0.04249294226
759	0.04239043845
760	0.04238111919
761	0.04231762184
762	0.04224823444
763	0.04219760044
764	0.04216961288
765	0.04207624803
766	0.04199798822
767	0.04187810937
768	0.04178708856
769	0.04165268593
770	0.04163544463
771	0.04150431213
772	0.0414021352
773	0.0413972304
774	0.04129470611
775	0.0412000319
776	0.04119376583
777	0.04113736817
778	0.04113144455
779	0.04107165054
780	0.04099074672
781	0.04091711
782	0.04083492078
783	0.04082774218
784	0.04076017502
785	0.04072221603
786	0.04062586346
787	0.04053780903
788	0.04050986186
789	0.04050007117
790	0.04049500403
791	0.04045673733
