iter	Logloss
0	0.6882589744
1	0.6833781122
2	0.6798095941
3	0.6764224882
4	0.6733295505
5	0.6696953149
6	0.6662475375
7	0.662270751
8	0.6580969913
9	0.6535223378
10	0.6491361174
11	0.6468886045
12	0.6439349513
13	0.6402632508
14	0.6371672089
15	0.6334996314
16	0.6298476578
17	0.6267048262
18	0.6232771162
19	0.6206235907
20	0.6181245592
21	0.6148420417
22	0.6124642613
23	0.6089890416
24	0.6078086382
25	0.6046383283
26	0.6016650138
27	0.5989689227
28	0.596289649
29	0.5943405192
30	0.5921427626
31	0.5897004817
32	0.5871786047
33	0.5849065839
34	0.5824187423
35	0.5800940599
36	0.5774950997
37	0.5743975701
38	0.5720489026
39	0.5703254049
40	0.5681918647
41	0.5659583643
42	0.5640056145
43	0.5626782253
44	0.5608207759
45	0.5591238166
46	0.5578336921
47	0.5567222176
48	0.5547786976
49	0.5530534034
50	0.5514482065
51	0.5497311454
52	0.5478507048
53	0.546422297
54	0.5451057025
55	0.5436986257
56	0.5415320889
57	0.5395655679
58	0.5373704445
59	0.534650515
60	0.5332822967
61	0.5311528209
62	0.5298759516
63	0.5282717708
64	0.5267313123
65	0.5252661652
66	0.5239402335
67	0.5226154723
68	0.5214543603
69	0.5201764415
70	0.5188232841
71	0.5172771875
72	0.5162369479
73	0.5153763553
74	0.5133036086
75	0.5123041864
76	0.5107941981
77	0.5098052487
78	0.508727398
79	0.5071063832
80	0.5059051111
81	0.5043805442
82	0.503381009
83	0.5024110715
84	0.5012761136
85	0.5003120344
86	0.4991394885
87	0.4982680103
88	0.497158791
89	0.4964109709
90	0.4956495534
91	0.4946793035
92	0.493999911
93	0.4930048364
94	0.4921141348
95	0.4912046425
96	0.490211149
97	0.4891992181
98	0.4885774162
99	0.4874485707
100	0.4863821651
101	0.4854497942
102	0.4846757399
103	0.4840256034
104	0.482979067
105	0.4822997734
106	0.4815510029
107	0.4807070139
108	0.4801877491
109	0.4792739382
110	0.4787141182
111	0.4778476894
112	0.4771494604
113	0.4766463218
114	0.4760305915
115	0.4754287009
116	0.4746053693
117	0.4738268428
118	0.4733327081
119	0.4728619755
120	0.47222248
121	0.4718787806
122	0.470783629
123	0.4703011748
124	0.4698142873
125	0.4690557038
126	0.4682923185
127	0.4676934951
128	0.4670645372
129	0.4666141941
130	0.4659754007
131	0.4652325616
132	0.4645497329
133	0.463906331
134	0.4629738037
135	0.4617666435
136	0.4611723941
137	0.4604687106
138	0.4600609978
139	0.459575409
140	0.4589573856
141	0.4585202276
142	0.4580706452
143	0.4574387582
144	0.4566736147
145	0.4564324445
146	0.4555389359
147	0.4549522168
148	0.4547250801
149	0.4544060049
150	0.4535743378
151	0.4533316252
152	0.4530610258
153	0.4529386467
154	0.4524950764
155	0.4521873948
156	0.4513649654
157	0.4509827703
158	0.4503701984
159	0.4500540331
160	0.4496917321
161	0.4490543779
162	0.4486781159
163	0.4482354702
164	0.4473697116
165	0.4469593772
166	0.4463990292
167	0.4459232298
168	0.4453497047
169	0.4449842352
170	0.4446017074
171	0.4440483052
172	0.4436025763
173	0.4431518976
174	0.4428370057
175	0.4424047321
176	0.4420219925
177	0.4415268033
178	0.4410808555
179	0.4405607572
180	0.4403045669
181	0.4399349657
182	0.4396493164
183	0.4392430114
184	0.4390229051
185	0.4385629484
186	0.4382188724
187	0.4377258232
188	0.4373656079
189	0.4370744304
190	0.436751547
191	0.4365410577
192	0.4357821446
193	0.4353861823
194	0.4350894721
195	0.4348584708
196	0.4346325059
197	0.4341414944
198	0.4336221778
199	0.4327371773
200	0.4324206272
201	0.4320694524
202	0.431728958
203	0.4314107061
204	0.4311910588
205	0.4306473819
206	0.4302222758
207	0.4297890411
208	0.4296109801
209	0.4293251406
210	0.4289222015
211	0.428613201
212	0.4281098876
213	0.4278560705
214	0.4273927257
215	0.4270222576
216	0.4268048077
217	0.426371281
218	0.4261683989
219	0.4259134429
220	0.4255847833
221	0.4251410701
222	0.4248623182
223	0.4244959369
224	0.4243635653
225	0.4239918874
226	0.4231954112
227	0.4229529326
228	0.4226494673
229	0.422124618
230	0.4218832877
231	0.4214454997
232	0.4212539926
233	0.4210184227
234	0.4206693641
235	0.4202923536
236	0.420107351
237	0.419900737
238	0.4194686542
239	0.4191649275
240	0.418974762
241	0.4186210301
242	0.4182776768
243	0.4180392644
244	0.4176772445
245	0.4172642825
246	0.4170019753
247	0.4167266144
248	0.4164178032
249	0.4159818497
250	0.415429162
251	0.4152013409
252	0.4148437261
253	0.4144828984
254	0.4141799978
255	0.4140226303
256	0.4138274275
257	0.4136227508
258	0.4133695428
259	0.413246736
260	0.4126624941
261	0.4123316564
262	0.4120701341
263	0.4115967139
264	0.4112684174
265	0.4108873256
266	0.410786883
267	0.4105634385
268	0.4103722132
269	0.4100806909
270	0.4097656295
271	0.4095316467
272	0.4091242208
273	0.4087683617
274	0.4084459335
275	0.4083026264
276	0.4080246996
277	0.4078691357
278	0.4073299153
279	0.4071420777
280	0.40680966
281	0.4066070736
282	0.4062762106
283	0.4060601737
284	0.4056353514
285	0.405457909
286	0.405289389
287	0.4050547896
288	0.404889232
289	0.404606011
290	0.4044349002
291	0.4041896349
292	0.4039404451
293	0.4038830294
294	0.4035359644
295	0.4033173752
296	0.4029109558
297	0.4026707482
298	0.4023707648
299	0.4021307312
300	0.4019933949
301	0.4017337061
302	0.4015322892
303	0.4012675982
304	0.4008277444
305	0.4005313067
306	0.4004384535
307	0.4002394905
308	0.3999861097
309	0.3997922157
310	0.399542628
311	0.399397435
312	0.3991519691
313	0.3991153446
314	0.3988347181
315	0.3986943695
316	0.3984716269
317	0.398235561
318	0.3980972514
319	0.3979960266
320	0.3975778376
321	0.3974591151
322	0.3973354296
323	0.3971972145
324	0.3969365108
325	0.3967274292
326	0.3964509925
327	0.3962477901
328	0.3961631257
329	0.3960470958
330	0.3959425206
331	0.3957176448
332	0.3955126656
333	0.395260152
334	0.3949708893
335	0.394786595
336	0.3947043654
337	0.3944982048
338	0.39431512
339	0.3941570988
340	0.393904747
341	0.3936647045
342	0.3933596083
343	0.3932668906
344	0.3931030338
345	0.3929563299
346	0.3927268539
347	0.3924574774
348	0.3922297398
349	0.392037991
350	0.3918812085
351	0.3917409765
352	0.3914667204
353	0.391291799
354	0.3910636324
355	0.3909897803
356	0.3908341854
357	0.3907377571
358	0.3905425085
359	0.3903542066
360	0.3901449147
361	0.3899426364
362	0.3897474763
363	0.3894929925
364	0.3892291237
365	0.3890438202
366	0.3889161064
367	0.3887215206
368	0.3885495906
369	0.3884509631
370	0.3883164759
371	0.3882079637
372	0.3878506192
373	0.3875694624
374	0.3873932626
375	0.3873101481
376	0.3870415888
377	0.3869155483
378	0.386648702
379	0.386465853
380	0.3863087874
381	0.3861660761
382	0.3855573633
383	0.3854179296
384	0.3852586043
385	0.3849978571
386	0.3848736122
387	0.384690899
388	0.3844761462
