GEOGRAPHY,AMOUNT
Los Angeles,2705419.0
San Bernardino,1011860.0
Riverside,924273.0
Orange,668313.0
Sacramento,373421.0
San Diego,340329.0
San Joaquin,275333.0
Kern,242987.0
Santa Clara,222667.0
Ventura,180772.0
Fresno,154068.0
Contra Costa,131422.0
Stanislaus,122765.0
Santa Barbara,105602.0
San Luis Obispo,91650.0
Yolo,80908.0
Merced,78282.0
Alameda,78200.0
Butte,73848.0
San Francisco,68003.0
Solano,62329.0
Shasta,57106.0
El Dorado,53033.0
Sutter/Yuba,51997.0
Lake,50896.0
Sonoma,37314.0
Placer,37063.0
Nevada,35843.0
Imperial,32837.0
Tulare,30199.0
Monterey,30194.0
Mendocino,27053.0
Madera,26723.0
Marin,25683.0
Humboldt,23300.0
Kings,21591.0
Glenn,18578.0
San Mateo,18394.0
Calaveras,18324.0
Siskiyou,16070.0
Santa Cruz,14249.0
Napa,13762.0
Mariposa,10890.0
Modoc,6768.0
Amador,5924.0
Inyo,2678.0
Lassen,2212.0
San Benito,1865.0
Trinity,902.0
Tuolumne,629.0
Del Norte,603.0
Tehama,215.0
Plumas,195.0
Colusa,60.0
Mono,0.0
Alpine,0.0
