GEOGRAPHY,ADULT_RESIDENTIAL_TX_SVCS,ALL,BH_PREVENTION_EDUCATION_SVC,CASE_MANAGEMENT/BROKERAGE,CRISIS_INTERVENTION,CRISIS_RESIDENTIAL_TX_SVCS,CRISIS_STABILIZATION,FULL_DAY_REHAB,FULL_DAY_TX_INTENSIVE,ICC,IHBS,INPATIENT_ADMIN,MEDICATION_SUPPORT_SVCS,MENTAL_HEALTH_SVCS,MOBILE_CRISIS,PSYCHIATRIC_HEALTH_FACILITY,SDMC_HOSPITAL_INPATIENT,SELF_HELP_PEER_SVCS,TFC,THERAPEUTIC_BEHAVIORAL_SVCS
Alameda,0.0,32803.0,0.0,3520.0,844.0,0.0,1054.0,0.0,0.0,25973.0,3169.0,0.0,2619.0,7955.0,0.0,0.0,93.0,0.0,0.0,170.0
Alpine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amador,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1610.0,1250.0,0.0,0.0,1064.0,0.0,0.0,0.0,0.0,0.0,0.0
Butte,0.0,27373.0,0.0,4258.0,424.0,0.0,0.0,0.0,0.0,23163.0,7054.0,0.0,3165.0,8257.0,0.0,0.0,0.0,0.0,0.0,154.0
Calaveras,0.0,7230.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,5884.0,1749.0,0.0,603.0,1858.0,0.0,0.0,0.0,0.0,0.0,0.0
Colusa,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contra Costa,0.0,35174.0,0.0,20329.0,2086.0,0.0,2706.0,0.0,0.0,27094.0,2772.0,0.0,9914.0,25479.0,0.0,0.0,104.0,0.0,0.0,5764.0
Del Norte,0.0,311.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,72.0,64.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0
El Dorado,0.0,21714.0,0.0,1594.0,0.0,0.0,0.0,0.0,0.0,20734.0,7147.0,0.0,0.0,1844.0,0.0,0.0,0.0,0.0,0.0,0.0
Fresno,0.0,40523.0,0.0,23284.0,2373.0,0.0,3559.0,0.0,0.0,26301.0,10053.0,0.0,15914.0,27472.0,0.0,793.0,0.0,0.0,0.0,3796.0
Glenn,0.0,6529.0,0.0,1219.0,0.0,0.0,0.0,0.0,0.0,5105.0,2780.0,0.0,0.0,2945.0,0.0,0.0,0.0,0.0,0.0,0.0
Humboldt,0.0,6591.0,0.0,2254.0,579.0,0.0,165.0,0.0,0.0,4392.0,1703.0,0.0,2477.0,5139.0,0.0,0.0,0.0,0.0,0.0,0.0
Imperial,0.0,11168.0,0.0,616.0,0.0,0.0,0.0,0.0,0.0,1750.0,7115.0,0.0,5341.0,6777.0,0.0,0.0,0.0,0.0,0.0,70.0
Inyo,0.0,1392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,204.0,0.0,0.0,883.0,0.0,0.0,0.0,0.0,0.0,0.0
Kern,0.0,69885.0,0.0,22025.0,3017.0,0.0,2948.0,0.0,0.0,62386.0,15239.0,0.0,21410.0,41379.0,0.0,0.0,0.0,0.0,36.0,4662.0
Kings,0.0,6957.0,0.0,2044.0,495.0,0.0,0.0,0.0,0.0,4949.0,3426.0,0.0,776.0,2944.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,0.0,17489.0,0.0,7228.0,3633.0,0.0,0.0,0.0,0.0,1932.0,537.0,0.0,7440.0,12592.0,0.0,45.0,0.0,0.0,0.0,0.0
Lassen,0.0,1129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,875.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Los Angeles,0.0,935717.0,0.0,92273.0,34966.0,0.0,16615.0,397.0,3274.0,764613.0,393995.0,0.0,111965.0,324587.0,0.0,1428.0,2176.0,3573.0,0.0,19840.0
Madera,0.0,10655.0,0.0,4442.0,0.0,0.0,0.0,0.0,0.0,4175.0,826.0,0.0,272.0,6353.0,0.0,0.0,0.0,0.0,0.0,0.0
Marin,0.0,9163.0,0.0,1528.0,0.0,0.0,0.0,0.0,0.0,7969.0,2147.0,0.0,788.0,4088.0,0.0,0.0,0.0,0.0,0.0,0.0
Mariposa,0.0,4198.0,0.0,433.0,0.0,0.0,0.0,0.0,0.0,3131.0,1759.0,0.0,0.0,1369.0,0.0,0.0,0.0,0.0,0.0,0.0
Mendocino,0.0,10626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10166.0,5453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,808.0,0.0
Merced,0.0,32012.0,0.0,2766.0,378.0,0.0,0.0,0.0,0.0,21299.0,7879.0,0.0,494.0,13454.0,0.0,0.0,0.0,0.0,0.0,0.0
Modoc,0.0,2775.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,1980.0,0.0,0.0,0.0,1743.0,0.0,0.0,0.0,0.0,0.0,0.0
Mono,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monterey,0.0,13773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12860.0,3561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Napa,0.0,6296.0,0.0,375.0,0.0,0.0,0.0,0.0,0.0,5644.0,70.0,0.0,47.0,1330.0,0.0,0.0,0.0,0.0,0.0,0.0
Nevada,0.0,13274.0,0.0,2055.0,0.0,0.0,0.0,0.0,0.0,12292.0,4245.0,0.0,0.0,3810.0,0.0,0.0,0.0,0.0,0.0,167.0
Orange,0.0,248183.0,0.0,16814.0,7278.0,0.0,2314.0,0.0,0.0,218658.0,101010.0,0.0,17695.0,52661.0,11.0,0.0,0.0,29.0,0.0,3660.0
Placer,0.0,13783.0,0.0,1730.0,0.0,0.0,0.0,0.0,0.0,12470.0,5304.0,0.0,200.0,3576.0,0.0,0.0,0.0,0.0,0.0,0.0
Plumas,0.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Riverside,0.0,378817.0,40.0,24314.0,2760.0,0.0,51612.0,0.0,0.0,300485.0,76743.0,0.0,23920.0,59421.0,0.0,0.0,0.0,4320.0,0.0,1841.0
Sacramento,0.0,144586.0,0.0,18365.0,1053.0,0.0,0.0,0.0,0.0,136747.0,35133.0,0.0,8606.0,27410.0,0.0,0.0,0.0,0.0,0.0,1521.0
San Benito,0.0,802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615.0,448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Bernardino,0.0,379832.0,0.0,30379.0,7679.0,0.0,3741.0,0.0,0.0,355399.0,51259.0,0.0,53430.0,115962.0,0.0,0.0,1110.0,1439.0,0.0,11630.0
San Diego,0.0,104847.0,91.0,23218.0,2384.0,0.0,3243.0,4954.0,0.0,91687.0,28774.0,0.0,20934.0,51861.0,0.0,0.0,1061.0,2429.0,66.0,4780.0
