RPT_DATE,RPT_YR,GEOGRAPHY,SVC_DESC,AMOUNT,AMOUNT_ANNOT,AMOUNT_TYPE
6/30/2020,FY1920,Alameda,ALL,410,,MEMBERS
6/30/2020,FY1920,Alameda,ALL,4582253,,DOLLARS
6/30/2020,FY1920,Alameda,CASE_MANAGEMENT/BROKERAGE,59,,MEMBERS
6/30/2020,FY1920,Alameda,CASE_MANAGEMENT/BROKERAGE,28843,,MINUTES
6/30/2020,FY1920,Alameda,CASE_MANAGEMENT/BROKERAGE,67459,,DOLLARS
6/30/2020,FY1920,Alameda,CRISIS_INTERVENTION,18,,MEMBERS
6/30/2020,FY1920,Alameda,CRISIS_INTERVENTION,5020,,MINUTES
6/30/2020,FY1920,Alameda,CRISIS_INTERVENTION,22058,,DOLLARS
6/30/2020,FY1920,Alameda,CRISIS_RESIDENTIAL_TX_SVCS,,1,MEMBERS
6/30/2020,FY1920,Alameda,CRISIS_RESIDENTIAL_TX_SVCS,,1,DAYS
6/30/2020,FY1920,Alameda,CRISIS_RESIDENTIAL_TX_SVCS,,1,DOLLARS
6/30/2020,FY1920,Alameda,CRISIS_STABILIZATION,14,,MEMBERS
6/30/2020,FY1920,Alameda,CRISIS_STABILIZATION,758,,HOURS
6/30/2020,FY1920,Alameda,CRISIS_STABILIZATION,146213,,DOLLARS
6/30/2020,FY1920,Alameda,FULL_DAY_TX_INTENSIVE,,1,MEMBERS
6/30/2020,FY1920,Alameda,FULL_DAY_TX_INTENSIVE,,1,DOLLARS
6/30/2020,FY1920,Alameda,FULL_DAY_TX_INTENSIVE,,1,HOURS
6/30/2020,FY1920,Alameda,ICC,300,,MEMBERS
6/30/2020,FY1920,Alameda,ICC,520417,,MINUTES
6/30/2020,FY1920,Alameda,ICC,1213357,,DOLLARS
6/30/2020,FY1920,Alameda,IHBS,68,,MEMBERS
6/30/2020,FY1920,Alameda,IHBS,75278,,MINUTES
6/30/2020,FY1920,Alameda,IHBS,227201,,DOLLARS
6/30/2020,FY1920,Alameda,INPATIENT_ADMIN,,1,MEMBERS
6/30/2020,FY1920,Alameda,INPATIENT_ADMIN,,1,DAYS
6/30/2020,FY1920,Alameda,INPATIENT_ADMIN,,1,DOLLARS
6/30/2020,FY1920,Alameda,MEDICATION_SUPPORT_SVCS,33,,MEMBERS
6/30/2020,FY1920,Alameda,MEDICATION_SUPPORT_SVCS,12570,,MINUTES
6/30/2020,FY1920,Alameda,MEDICATION_SUPPORT_SVCS,74947,,DOLLARS
6/30/2020,FY1920,Alameda,MENTAL_HEALTH_SVCS,144,,MEMBERS
6/30/2020,FY1920,Alameda,MENTAL_HEALTH_SVCS,764679,,MINUTES
6/30/2020,FY1920,Alameda,MENTAL_HEALTH_SVCS,2291571,,DOLLARS
6/30/2020,FY1920,Alameda,PSYCHIATRIC_HEALTH_FACILITY,,1,MEMBERS
6/30/2020,FY1920,Alameda,PSYCHIATRIC_HEALTH_FACILITY,,1,DAYS
6/30/2020,FY1920,Alameda,PSYCHIATRIC_HEALTH_FACILITY,,1,DOLLARS
6/30/2020,FY1920,Alameda,SDMC_HOSPITAL_INPATIENT,,1,MEMBERS
6/30/2020,FY1920,Alameda,SDMC_HOSPITAL_INPATIENT,,1,DAYS
6/30/2020,FY1920,Alameda,SDMC_HOSPITAL_INPATIENT,,1,DOLLARS
6/30/2020,FY1920,Alameda,THERAPEUTIC_BEHAVIORAL_SVCS,11,,MEMBERS
6/30/2020,FY1920,Alameda,THERAPEUTIC_BEHAVIORAL_SVCS,63514,,MINUTES
6/30/2020,FY1920,Alameda,THERAPEUTIC_BEHAVIORAL_SVCS,192722,,DOLLARS
6/30/2020,FY1920,Amador,ALL,27,,MEMBERS
6/30/2020,FY1920,Amador,ALL,156116,,DOLLARS
6/30/2020,FY1920,Amador,CASE_MANAGEMENT/BROKERAGE,,1,MEMBERS
6/30/2020,FY1920,Amador,CASE_MANAGEMENT/BROKERAGE,,1,DOLLARS
6/30/2020,FY1920,Amador,CASE_MANAGEMENT/BROKERAGE,,1,MINUTES
6/30/2020,FY1920,Amador,ICC,23,,MEMBERS
6/30/2020,FY1920,Amador,ICC,16882,,MINUTES
6/30/2020,FY1920,Amador,ICC,37746,,DOLLARS
6/30/2020,FY1920,Amador,IHBS,21,,MEMBERS
6/30/2020,FY1920,Amador,IHBS,41964,,MINUTES
6/30/2020,FY1920,Amador,IHBS,91596,,DOLLARS
6/30/2020,FY1920,Amador,MEDICATION_SUPPORT_SVCS,,1,MEMBERS
6/30/2020,FY1920,Amador,MEDICATION_SUPPORT_SVCS,,1,DOLLARS
6/30/2020,FY1920,Amador,MEDICATION_SUPPORT_SVCS,,1,MINUTES
6/30/2020,FY1920,Amador,MENTAL_HEALTH_SVCS,20,,MEMBERS
6/30/2020,FY1920,Amador,MENTAL_HEALTH_SVCS,7024,,MINUTES
6/30/2020,FY1920,Amador,MENTAL_HEALTH_SVCS,17529,,DOLLARS
6/30/2020,FY1920,Butte,ALL,307,,MEMBERS
6/30/2020,FY1920,Butte,ALL,1421849,,DOLLARS
6/30/2020,FY1920,Butte,CASE_MANAGEMENT/BROKERAGE,39,,MEMBERS
6/30/2020,FY1920,Butte,CASE_MANAGEMENT/BROKERAGE,5106,,MINUTES
6/30/2020,FY1920,Butte,CASE_MANAGEMENT/BROKERAGE,10524,,DOLLARS
6/30/2020,FY1920,Butte,CRISIS_INTERVENTION,,1,MEMBERS
6/30/2020,FY1920,Butte,CRISIS_INTERVENTION,,1,DOLLARS
6/30/2020,FY1920,Butte,CRISIS_INTERVENTION,,1,MINUTES
6/30/2020,FY1920,Butte,CRISIS_STABILIZATION,,1,MEMBERS
6/30/2020,FY1920,Butte,CRISIS_STABILIZATION,,1,DOLLARS
6/30/2020,FY1920,Butte,CRISIS_STABILIZATION,,1,HOURS
6/30/2020,FY1920,Butte,ICC,271,,MEMBERS
6/30/2020,FY1920,Butte,ICC,158694,,MINUTES
6/30/2020,FY1920,Butte,ICC,327950,,DOLLARS
6/30/2020,FY1920,Butte,IHBS,106,,MEMBERS
6/30/2020,FY1920,Butte,IHBS,335892,,MINUTES
6/30/2020,FY1920,Butte,IHBS,697716,,DOLLARS
6/30/2020,FY1920,Butte,MEDICATION_SUPPORT_SVCS,37,,MEMBERS
6/30/2020,FY1920,Butte,MEDICATION_SUPPORT_SVCS,19721,,MINUTES
6/30/2020,FY1920,Butte,MEDICATION_SUPPORT_SVCS,99577,,DOLLARS
6/30/2020,FY1920,Butte,MENTAL_HEALTH_SVCS,88,,MEMBERS
6/30/2020,FY1920,Butte,MENTAL_HEALTH_SVCS,96777,,MINUTES
6/30/2020,FY1920,Butte,MENTAL_HEALTH_SVCS,222705,,DOLLARS
6/30/2020,FY1920,Butte,THERAPEUTIC_BEHAVIORAL_SVCS,,1,MEMBERS
6/30/2020,FY1920,Butte,THERAPEUTIC_BEHAVIORAL_SVCS,,1,DOLLARS
6/30/2020,FY1920,Butte,THERAPEUTIC_BEHAVIORAL_SVCS,,1,MINUTES
6/30/2020,FY1920,Calaveras,ALL,85,,MEMBERS
6/30/2020,FY1920,Calaveras,ALL,318793,,DOLLARS
6/30/2020,FY1920,Calaveras,CASE_MANAGEMENT/BROKERAGE,25,,MEMBERS
6/30/2020,FY1920,Calaveras,CASE_MANAGEMENT/BROKERAGE,15165,,MINUTES
6/30/2020,FY1920,Calaveras,CASE_MANAGEMENT/BROKERAGE,54501,,DOLLARS
6/30/2020,FY1920,Calaveras,CRISIS_INTERVENTION,,1,MEMBERS
6/30/2020,FY1920,Calaveras,CRISIS_INTERVENTION,,1,DOLLARS
6/30/2020,FY1920,Calaveras,CRISIS_INTERVENTION,,1,MINUTES
6/30/2020,FY1920,Calaveras,ICC,63,,MEMBERS
6/30/2020,FY1920,Calaveras,ICC,20263,,MINUTES
6/30/2020,FY1920,Calaveras,ICC,52398,,DOLLARS
6/30/2020,FY1920,Calaveras,IHBS,29,,MEMBERS
6/30/2020,FY1920,Calaveras,IHBS,45652,,MINUTES
6/30/2020,FY1920,Calaveras,IHBS,97528,,DOLLARS
6/30/2020,FY1920,Calaveras,MEDICATION_SUPPORT_SVCS,20,,MEMBERS
6/30/2020,FY1920,Calaveras,MEDICATION_SUPPORT_SVCS,4777,,MINUTES
6/30/2020,FY1920,Calaveras,MEDICATION_SUPPORT_SVCS,29187,,DOLLARS
6/30/2020,FY1920,Calaveras,MENTAL_HEALTH_SVCS,39,,MEMBERS
6/30/2020,FY1920,Calaveras,MENTAL_HEALTH_SVCS,28170,,MINUTES
