longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,price_income_ratio
-122.23,37.88,41,880,129.0,322,126,8.3252,452600,NEAR BAY,5.436506029885168
-122.22,37.86,21,7099,1106.0,2401,1138,8.3014,358500,NEAR BAY,4.3185486785361515
-122.24,37.85,52,1467,190.0,496,177,7.2574,352100,NEAR BAY,4.851599746465676
-122.25,37.85,52,1274,235.0,558,219,5.6431,341300,NEAR BAY,6.0480941326575826
-122.25,37.85,52,1627,280.0,565,259,3.8462,342200,NEAR BAY,8.897093234881181
-122.25,37.85,52,919,213.0,413,193,4.0368,269700,NEAR BAY,6.681034482758619
-122.25,37.84,52,2535,489.0,1094,514,3.6591,299200,NEAR BAY,8.176874094722747
-122.25,37.84,52,3104,687.0,1157,647,3.12,241400,NEAR BAY,7.737179487179487
-122.26,37.84,42,2555,665.0,1206,595,2.0804,226700,NEAR BAY,10.896942895597
-122.25,37.84,52,3549,707.0,1551,714,3.6912,261100,NEAR BAY,7.07358040745557
-122.26,37.85,52,2202,434.0,910,402,3.2031,281500,NEAR BAY,8.788361275014829
-122.26,37.85,52,3503,752.0,1504,734,3.2705,241800,NEAR BAY,7.393364928909952
-122.26,37.85,52,2491,474.0,1098,468,3.075,213500,NEAR BAY,6.943089430894309
-122.26,37.84,52,696,191.0,345,174,2.6736,191300,NEAR BAY,7.155146618791143
-122.26,37.85,52,2643,626.0,1212,620,1.9167,159200,NEAR BAY,8.305942505347733
-122.26,37.85,50,1120,283.0,697,264,2.125,140000,NEAR BAY,6.588235294117647
-122.27,37.85,52,1966,347.0,793,331,2.775,152500,NEAR BAY,5.495495495495495
-122.27,37.85,52,1228,293.0,648,303,2.1202,155500,NEAR BAY,7.334213753419489
-122.26,37.84,50,2239,455.0,990,419,1.9911,158700,NEAR BAY,7.970468585204158
-122.27,37.84,52,1503,298.0,690,275,2.6033,162900,NEAR BAY,6.257442476856298
-122.27,37.85,40,751,184.0,409,166,1.3578,147500,NEAR BAY,10.863160995728386
-122.27,37.85,42,1639,367.0,929,366,1.7135,159800,NEAR BAY,9.325941056317479
-122.27,37.84,52,2436,541.0,1015,478,1.725,113900,NEAR BAY,6.602898550724638
-122.27,37.84,52,1688,337.0,853,325,2.1806,99700,NEAR BAY,4.572136109327708
-122.27,37.84,52,2224,437.0,1006,422,2.6,132600,NEAR BAY,5.1
-122.28,37.85,41,535,123.0,317,119,2.4038,107500,NEAR BAY,4.47208586404859
-122.28,37.85,49,1130,244.0,607,239,2.4597,93800,NEAR BAY,3.8134731877871277
-122.28,37.85,52,1898,421.0,1102,397,1.808,105500,NEAR BAY,5.835176991150442
-122.28,37.84,50,2082,492.0,1131,473,1.6424,108900,NEAR BAY,6.630540672187044
-122.28,37.84,52,729,160.0,395,155,1.6875,132000,NEAR BAY,7.822222222222222
-122.28,37.84,49,1916,447.0,863,378,1.9274,122300,NEAR BAY,6.3453356853792675
-122.28,37.84,52,2153,481.0,1168,441,1.9615,115200,NEAR BAY,5.87305633443793
-122.27,37.84,48,1922,409.0,1026,335,1.7969,110400,NEAR BAY,6.143914519450164
-122.27,37.83,49,1655,366.0,754,329,1.375,104900,NEAR BAY,7.629090909090909
-122.27,37.83,51,2665,574.0,1258,536,2.7303,109700,NEAR BAY,4.017873493755265
