longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,CLUSTER_ID,city,group
-118.49,34.06,42,2861,360.0,829,310,15.0001,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.5,34.05,39,1487,163.0,414,160,15.0,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.52,34.05,45,1814,325.0,709,311,4.825,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.52,34.04,47,1985,315.0,819,340,6.5147,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.54,34.05,33,6778,1092.0,2540,1052,8.565,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.55,34.04,41,1482,239.0,617,242,8.8619,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.54,34.06,21,3755,525.0,1493,526,11.4233,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.55,34.03,35,9075,1858.0,3646,1724,6.0307,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.52,34.04,42,993,130.0,368,134,10.8082,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.52,34.04,43,2167,254.0,761,256,13.6842,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.53,34.04,45,1711,264.0,735,261,9.1078,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.53,34.03,40,4350,763.0,1551,665,7.0318,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.5,34.05,36,4152,542.0,1461,550,15.0001,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.55,33.99,39,2603,456.0,928,410,7.9096,500001,NEAR OCEAN,4,Santa Monica,Ultra-High
-118.51,34.04,38,4715,691.0,1660,637,10.1882,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.47,34.06,45,1271,190.0,419,171,7.6447,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.47,34.06,45,3030,433.0,916,399,9.4664,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.48,34.05,48,3623,528.0,1282,516,9.5221,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.49,34.05,42,1918,216.0,632,224,15.0001,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.47,34.06,26,6577,1789.0,2937,1652,4.801,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.46,34.06,20,5448,1532.0,2202,1442,4.2554,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.47,34.05,25,2689,719.0,1229,663,3.5909,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.46,34.05,25,4077,1151.0,1719,1017,3.7721,337500,<1H OCEAN,4,Santa Monica,Ultra-High
-118.46,34.05,21,3639,1002.0,1489,983,4.6197,387500,<1H OCEAN,4,Santa Monica,Ultra-High
-118.47,34.05,22,5215,1193.0,2048,1121,4.7009,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.47,34.05,27,4401,1033.0,1725,962,4.175,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.48,34.05,36,2143,434.0,751,396,6.7496,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.49,34.05,45,1346,214.0,415,209,7.0285,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.44,34.06,28,3910,959.0,1763,867,5.5,500001,<1H OCEAN,4,Santa Monica,Ultra-High
-118.44,34.06,14,520,292.0,282,213,2.2857,500001,<1H OCEAN,4,Santa Monica,Ultra-High
