분야 및 연도,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
총배출량(Gg CO2eq),292097.8,315341.5,343337.6,378532.9,403541.2,433757.3,470241.2,501875.2,431387.6,469368.6,502681.5,515955,538405.9,548761.8,557011.8,561472.1,566997.8,580340.8,593991.2,598001.3,656048.8,684703.4,688035.3,697308.8,692100.7,692576,693612.5,710743.4,727045.2,701370.4
순배출량,254424.5,281879.1,310662.4,347664.4,370444.7,402460,435519.1,462376,383326.7,413819.4,443704.4,457546,482275,493177.5,500145.3,506510.3,510828.9,523528,536386.1,540874,601295,631443.4,639994.1,653919.2,647718.7,647012.4,647071.3,668186,684959,661820.1
에너지,240294.5,258113.2,278995.6,308499.8,327799.7,352000.7,385582.1,411617.6,351493.3,382112.8,411584.7,425928.7,445254.6,452962.6,460070.5,469372.5,474784.8,492405,506555,513041.7,565692.1,594655.1,596004.2,604525,596943.4,600256.4,602213.7,615604.6,632571.9,611499.1
A 연료연소,235182.2,253554.5,275205.9,305340.3,325066.6,349613.2,383185.8,409141.4,349141.9,379577.1,408915.3,423225.1,442541.4,450177.7,457010.2,466261.4,471614.5,489010.9,503103.2,509794.8,561911.8,590614.5,591653.6,600054.7,592851.5,596492.3,598317,611628.1,628144.7,607301.6
A 연료연소_1 에너지산업,48351.2,54790.1,62374.9,68765.1,83606.2,91684.7,108977.8,122325.2,106295.2,116150.2,136124.2,147477,155764.3,159992.5,172849.3,179003.7,185847.1,197249.6,210717.6,229409,254797.3,262387.6,266405.6,272977.1,258467.4,260499.4,262104.3,269764.3,286398.7,266224.6
A 연료연소_1 에너지산업_a 공공전기 및 열 생산,36575.3,42684.3,50112,56338.8,71011.1,78688,95316.8,107294.3,91114,100604.5,120214.7,131396.3,140828.4,144871.9,156494.4,162906.2,170054,181313.1,192998.1,212377.7,239287.6,246092.6,249479.1,256140.3,241712.3,242127.8,242482.4,251381.5,268355.6,248745.8
A 연료연소_1 에너지산업_b 석유정제,11313.3,11603.5,11668.1,11884.4,11953.5,12366.6,12838.5,13283,13243.5,13678.7,13791,13723.6,13504.4,13278.4,13348.2,13583.9,13738.1,13963.4,15528.6,14626.3,13035.1,14056.1,14658.1,14592.3,14889.2,16573.3,17916,15847.6,15858.3,15364.5
A 연료연소_1 에너지산업_c 고체연료 제조 및 기타 에너지 산업,462.7,502.3,594.9,541.9,641.6,630,822.5,1747.9,1937.7,1867,2118.4,2357.1,1431.5,1842.2,3006.7,2513.7,2055,1973.2,2190.8,2404.9,2474.6,2239,2268.5,2244.4,1865.9,1798.3,1705.8,2535.2,2184.8,2114.3
A 연료연소_2 제조업 및 건설업,76558.1,88000.4,97959.1,108051.3,112797.2,115848.4,124012.9,129601.8,120270.8,125754.7,130644.9,131298.3,137369.8,139700.8,137412.4,137892,139452.3,144299.6,149316,138744.4,162915.1,184640.1,180535.6,182060.4,193762.6,188488.4,182570.9,187762.8,188056.2,187615.1
A 연료연소_2 제조업 및 건설업_a 철강,30929.1,35743.4,38901.2,43578.3,42776,44917.4,47438.8,47944.1,48259.6,50243.4,52156.4,51991.1,53997.2,54892.3,56180.3,57086.1,61859.7,63074.9,68743.4,60073.6,77756.3,90665.6,90217.1,90606.8,105262.7,102034.4,94503.2,100662.5,96498.6,96435.8
A 연료연소_2 제조업 및 건설업_b 비철금속,544.3,556.1,421.6,409.5,527.8,661.4,455.1,401.3,368.1,476.8,1176.9,1111,1149,1378.3,1364.4,1287.3,1295.4,1791.1,2013.1,2275.3,2344.3,2604.6,2361,2517.8,2416.3,2690.3,2674.1,2631.2,2988.8,2856.5
